,Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
8819,INN08820,3,0,1,1,Meal Plan 1,0,Room_Type 4,183,2018,8,8,Online,0,0,0,137.7,2,Canceled
35280,INN35281,2,0,0,3,Meal Plan 1,0,Room_Type 1,25,2018,3,10,Online,0,0,0,94.33,0,Not_Canceled
28550,INN28551,2,0,0,3,Meal Plan 1,0,Room_Type 1,103,2018,5,4,Offline,0,0,0,80.0,0,Not_Canceled
3516,INN03517,3,0,0,3,Meal Plan 1,0,Room_Type 4,70,2018,7,26,Online,0,0,0,137.7,0,Canceled
21168,INN21169,2,2,2,2,Meal Plan 1,0,Room_Type 7,4,2018,4,8,Online,0,0,0,221.39,2,Not_Canceled
18090,INN18091,2,0,2,1,Meal Plan 1,0,Room_Type 1,6,2018,9,18,Online,0,0,0,162.33,2,Not_Canceled
28812,INN28813,2,0,2,3,Not Selected,0,Room_Type 1,37,2018,8,20,Online,0,0,0,125.1,3,Not_Canceled
31432,INN31433,2,0,0,3,Meal Plan 1,0,Room_Type 1,35,2018,3,9,Offline,0,0,0,38.67,0,Not_Canceled
20714,INN20715,3,0,2,5,Meal Plan 1,0,Room_Type 4,132,2018,7,31,Online,0,0,0,140.27,0,Canceled
14624,INN14625,3,0,2,1,Meal Plan 1,0,Room_Type 4,63,2018,6,19,Online,0,0,0,141.3,1,Not_Canceled
32635,INN32636,1,0,0,2,Meal Plan 1,0,Room_Type 1,181,2018,10,11,Offline,0,0,0,120.0,0,Canceled
2063,INN02064,2,0,2,1,Meal Plan 1,0,Room_Type 1,26,2018,6,11,Offline,0,0,0,95.0,0,Not_Canceled
17085,INN17086,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,2018,6,12,Online,0,0,0,135.0,1,Not_Canceled
30595,INN30596,2,1,1,2,Meal Plan 1,0,Room_Type 6,4,2018,12,23,Complementary,1,0,1,0.0,0,Not_Canceled
31529,INN31530,2,0,0,2,Meal Plan 2,0,Room_Type 1,74,2017,9,18,Offline,0,0,0,101.5,0,Not_Canceled
32175,INN32176,2,0,1,4,Meal Plan 1,0,Room_Type 1,143,2018,8,31,Online,0,0,0,101.31,1,Not_Canceled
25555,INN25556,1,0,0,3,Meal Plan 1,0,Room_Type 4,27,2017,9,17,Online,0,0,0,120.0,0,Not_Canceled
35089,INN35090,2,0,1,2,Meal Plan 2,0,Room_Type 1,418,2018,9,26,Offline,0,0,0,107.0,0,Canceled
16929,INN16930,2,0,0,2,Meal Plan 1,0,Room_Type 1,55,2017,10,9,Online,0,0,0,94.5,1,Not_Canceled
27114,INN27115,1,0,1,2,Meal Plan 1,0,Room_Type 1,84,2018,4,1,Online,0,0,0,87.3,0,Canceled
7395,INN07396,2,1,0,1,Meal Plan 1,0,Room_Type 1,36,2018,3,24,Online,0,0,0,115.2,0,Canceled
27585,INN27586,2,0,2,2,Meal Plan 1,0,Room_Type 2,159,2018,10,30,Online,0,0,0,83.5,2,Canceled
26063,INN26064,3,0,0,2,Meal Plan 1,0,Room_Type 4,4,2018,2,4,Online,0,0,0,133.0,1,Not_Canceled
21400,INN21401,2,0,2,1,Meal Plan 1,0,Room_Type 4,8,2018,1,2,Online,0,0,0,92.95,1,Not_Canceled
17746,INN17747,2,0,1,0,Meal Plan 1,0,Room_Type 1,4,2018,5,2,Offline,0,0,0,95.0,0,Not_Canceled
14187,INN14188,2,0,1,4,Meal Plan 2,0,Room_Type 2,34,2017,10,26,Offline,0,0,0,111.96,0,Not_Canceled
12855,INN12856,2,0,2,2,Meal Plan 1,0,Room_Type 2,66,2018,2,27,Online,0,0,0,65.66,0,Canceled
585,INN00586,1,0,1,2,Meal Plan 1,0,Room_Type 1,4,2017,11,2,Online,0,0,0,117.0,0,Not_Canceled
15929,INN15930,2,2,0,4,Meal Plan 1,0,Room_Type 6,21,2018,6,1,Online,0,0,0,175.95,2,Not_Canceled
10001,INN10002,2,1,2,0,Meal Plan 1,0,Room_Type 1,14,2018,4,24,Online,0,0,0,149.0,2,Not_Canceled
1648,INN01649,1,0,0,3,Meal Plan 1,0,Room_Type 1,16,2018,11,16,Offline,0,0,0,75.0,0,Not_Canceled
34144,INN34145,2,0,2,2,Meal Plan 1,0,Room_Type 1,224,2018,9,4,Online,0,0,0,97.96,1,Not_Canceled
30849,INN30850,1,0,0,3,Meal Plan 1,0,Room_Type 4,57,2018,10,13,Online,0,0,0,132.3,2,Not_Canceled
15464,INN15465,1,0,1,4,Meal Plan 1,0,Room_Type 1,179,2018,7,4,Online,0,0,0,66.76,1,Not_Canceled
20662,INN20663,2,0,0,3,Meal Plan 1,0,Room_Type 1,213,2018,6,7,Offline,0,0,0,130.0,0,Canceled
16291,INN16292,2,0,2,0,Meal Plan 1,0,Room_Type 1,15,2018,5,29,Online,0,0,0,111.0,0,Canceled
12057,INN12058,2,0,2,0,Meal Plan 1,0,Room_Type 4,77,2018,5,1,Online,0,0,0,140.4,0,Not_Canceled
12689,INN12690,2,0,1,0,Meal Plan 1,0,Room_Type 1,141,2017,9,20,Offline,0,0,0,90.0,0,Canceled
28455,INN28456,2,1,2,2,Meal Plan 1,0,Room_Type 1,12,2018,2,20,Offline,0,0,0,100.0,1,Not_Canceled
21125,INN21126,1,0,1,0,Meal Plan 1,0,Room_Type 1,74,2018,11,20,Online,0,0,0,86.4,0,Canceled
2607,INN02608,2,0,0,3,Not Selected,0,Room_Type 1,10,2018,6,21,Online,0,0,0,112.33,1,Not_Canceled
3728,INN03729,2,0,0,2,Meal Plan 1,0,Room_Type 1,115,2018,7,8,Online,0,0,0,114.3,0,Canceled
22594,INN22595,2,0,1,2,Not Selected,0,Room_Type 1,207,2018,8,5,Online,0,0,0,85.5,1,Not_Canceled
29892,INN29893,1,0,2,2,Meal Plan 1,0,Room_Type 1,163,2018,6,5,Offline,0,0,0,100.0,0,Canceled
1032,INN01033,1,0,0,2,Meal Plan 1,0,Room_Type 1,192,2018,6,24,Offline,0,0,0,95.0,0,Not_Canceled
28173,INN28174,1,0,1,1,Meal Plan 1,0,Room_Type 1,13,2018,7,11,Corporate,0,0,0,79.0,0,Not_Canceled
27392,INN27393,2,0,0,1,Meal Plan 1,0,Room_Type 4,67,2018,11,22,Online,0,0,0,102.6,1,Not_Canceled
451,INN00452,1,0,0,1,Meal Plan 1,0,Room_Type 1,53,2018,10,14,Offline,0,0,0,120.0,0,Not_Canceled
15930,INN15931,2,0,0,3,Meal Plan 1,0,Room_Type 1,122,2018,12,8,Online,0,0,0,68.0,0,Not_Canceled
18967,INN18968,2,0,1,2,Meal Plan 2,0,Room_Type 1,309,2018,5,13,Offline,0,0,0,101.0,0,Canceled
2362,INN02363,2,0,2,1,Not Selected,0,Room_Type 1,54,2018,11,12,Online,0,0,0,88.2,1,Canceled
20360,INN20361,1,0,0,1,Not Selected,0,Room_Type 1,36,2018,9,27,Online,0,0,0,72.07,1,Not_Canceled
28009,INN28010,2,0,0,3,Meal Plan 1,0,Room_Type 1,37,2018,10,13,Offline,0,0,0,105.0,0,Not_Canceled
19198,INN19199,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,2,13,Corporate,0,0,0,79.0,0,Not_Canceled
11492,INN11493,2,0,0,3,Meal Plan 1,0,Room_Type 1,71,2017,9,22,Offline,0,0,0,95.0,0,Not_Canceled
29251,INN29252,2,0,2,0,Not Selected,0,Room_Type 1,1,2018,6,12,Online,0,0,0,104.0,0,Not_Canceled
11619,INN11620,2,0,2,1,Meal Plan 1,0,Room_Type 1,224,2018,10,29,Online,0,0,0,96.3,1,Canceled
34229,INN34230,2,0,2,1,Meal Plan 1,0,Room_Type 1,192,2018,12,18,Online,0,0,0,90.0,1,Canceled
36092,INN36093,2,0,0,1,Meal Plan 1,0,Room_Type 1,13,2018,4,8,Online,0,0,0,101.0,1,Not_Canceled
915,INN00916,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,2018,1,3,Online,0,0,0,81.0,0,Not_Canceled
15610,INN15611,2,0,0,2,Meal Plan 1,0,Room_Type 1,0,2017,10,1,Online,0,0,0,135.5,2,Not_Canceled
20367,INN20368,2,0,0,2,Meal Plan 2,0,Room_Type 1,39,2017,8,14,Offline,0,0,0,101.5,0,Not_Canceled
21969,INN21970,3,0,0,4,Meal Plan 1,0,Room_Type 4,20,2018,3,9,Online,0,0,0,129.5,4,Not_Canceled
30882,INN30883,2,0,0,2,Meal Plan 1,0,Room_Type 1,14,2018,1,27,Online,0,0,0,81.9,1,Not_Canceled
33111,INN33112,2,0,0,3,Meal Plan 1,0,Room_Type 1,96,2018,9,27,Online,0,0,0,122.31,1,Canceled
17579,INN17580,2,0,0,2,Meal Plan 1,0,Room_Type 1,28,2018,5,19,Corporate,0,0,0,100.0,0,Canceled
31752,INN31753,1,0,0,3,Meal Plan 1,0,Room_Type 1,37,2018,10,13,Offline,0,0,0,95.0,0,Not_Canceled
6980,INN06981,2,0,0,1,Meal Plan 1,0,Room_Type 4,1,2018,7,7,Corporate,0,0,0,94.0,0,Not_Canceled
27228,INN27229,1,0,0,3,Meal Plan 1,0,Room_Type 1,37,2018,10,13,Offline,0,0,0,95.0,0,Not_Canceled
30219,INN30220,2,0,2,1,Meal Plan 1,0,Room_Type 1,87,2018,12,17,Offline,0,0,0,75.0,0,Not_Canceled
7291,INN07292,2,0,2,1,Meal Plan 2,0,Room_Type 1,145,2017,8,29,Online,0,0,0,94.5,0,Canceled
31606,INN31607,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,7,12,Corporate,0,0,0,65.0,1,Not_Canceled
20475,INN20476,2,0,0,3,Meal Plan 1,0,Room_Type 1,119,2018,6,7,Offline,0,0,0,120.0,0,Not_Canceled
35298,INN35299,2,0,0,2,Not Selected,0,Room_Type 1,88,2018,6,17,Online,0,0,0,116.1,0,Canceled
24636,INN24637,3,0,1,4,Not Selected,0,Room_Type 1,100,2018,7,6,Online,0,0,0,98.83,2,Not_Canceled
17431,INN17432,2,0,0,3,Meal Plan 1,0,Room_Type 4,178,2018,10,6,Online,0,0,0,122.4,2,Canceled
16700,INN16701,2,0,0,3,Meal Plan 1,0,Room_Type 1,259,2018,5,5,Offline,0,0,0,90.0,0,Canceled
12760,INN12761,2,2,2,3,Meal Plan 1,0,Room_Type 6,155,2018,12,29,Online,0,0,0,148.58,1,Canceled
14771,INN14772,1,0,1,2,Meal Plan 1,0,Room_Type 1,55,2018,2,22,Online,0,0,0,73.9,1,Not_Canceled
9840,INN09841,2,0,2,5,Meal Plan 1,0,Room_Type 1,83,2018,3,18,Online,0,0,0,76.38,0,Canceled
12949,INN12950,2,0,2,1,Meal Plan 1,0,Room_Type 1,148,2018,8,21,Offline,0,0,0,72.25,0,Not_Canceled
10191,INN10192,2,0,1,2,Meal Plan 1,0,Room_Type 1,132,2018,8,29,Online,0,0,0,96.3,0,Canceled
8088,INN08089,2,0,1,2,Meal Plan 1,0,Room_Type 1,122,2018,3,28,Complementary,0,0,0,0.0,1,Not_Canceled
6,INN00007,2,0,1,3,Meal Plan 1,0,Room_Type 1,34,2017,10,15,Online,0,0,0,107.55,1,Not_Canceled
8818,INN08819,2,0,1,2,Meal Plan 1,0,Room_Type 1,32,2017,10,12,Online,0,0,0,73.87,0,Not_Canceled
26090,INN26091,2,0,2,2,Meal Plan 1,0,Room_Type 4,167,2018,3,13,Offline,0,0,0,60.0,1,Not_Canceled
26100,INN26101,2,0,2,2,Meal Plan 1,0,Room_Type 1,60,2018,3,20,Offline,0,0,0,75.0,0,Canceled
32806,INN32807,2,0,0,2,Meal Plan 1,1,Room_Type 4,129,2018,8,25,Online,0,0,0,118.8,0,Not_Canceled
22457,INN22458,1,0,4,5,Meal Plan 1,0,Room_Type 1,27,2018,2,7,Online,0,0,0,70.0,0,Canceled
20790,INN20791,2,0,0,3,Meal Plan 1,0,Room_Type 4,15,2018,6,21,Online,0,0,0,142.67,1,Not_Canceled
12926,INN12927,2,0,2,2,Meal Plan 1,0,Room_Type 1,99,2017,10,30,Offline,0,0,0,65.0,0,Canceled
35638,INN35639,1,0,0,1,Meal Plan 1,0,Room_Type 1,2,2018,10,27,Corporate,0,0,0,65.0,0,Not_Canceled
2786,INN02787,2,0,1,3,Meal Plan 1,0,Room_Type 1,100,2018,5,19,Online,0,0,0,136.0,1,Not_Canceled
23350,INN23351,2,0,2,2,Meal Plan 1,0,Room_Type 1,81,2017,10,25,Online,0,0,0,89.25,1,Canceled
8821,INN08822,2,0,0,4,Meal Plan 1,0,Room_Type 4,90,2018,4,12,Online,0,0,0,99.45,0,Canceled
11347,INN11348,1,0,0,2,Meal Plan 1,0,Room_Type 1,32,2017,11,20,Offline,0,0,0,73.0,0,Not_Canceled
21011,INN21012,2,0,2,1,Meal Plan 2,0,Room_Type 1,23,2018,1,2,Offline,0,0,0,109.0,0,Not_Canceled
22440,INN22441,2,0,2,2,Meal Plan 1,0,Room_Type 1,63,2018,9,4,Online,0,0,0,103.95,1,Not_Canceled
9588,INN09589,1,0,2,3,Meal Plan 1,0,Room_Type 1,115,2018,2,27,Offline,0,0,0,76.0,0,Not_Canceled
14645,INN14646,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2017,8,11,Online,0,0,0,95.0,2,Not_Canceled
16431,INN16432,2,0,2,3,Meal Plan 1,0,Room_Type 1,85,2018,3,17,Online,0,0,0,73.95,2,Not_Canceled
28817,INN28818,2,0,0,4,Meal Plan 1,0,Room_Type 4,101,2018,6,1,Online,0,0,0,132.6,0,Canceled
5824,INN05825,1,0,1,0,Meal Plan 1,0,Room_Type 1,111,2018,10,10,Online,0,0,0,120.0,0,Canceled
35425,INN35426,2,0,0,1,Meal Plan 1,0,Room_Type 1,3,2018,10,20,Offline,0,0,0,95.0,0,Not_Canceled
12763,INN12764,2,0,0,1,Meal Plan 1,0,Room_Type 1,11,2018,2,13,Online,0,0,0,91.0,1,Not_Canceled
14947,INN14948,1,0,0,2,Not Selected,0,Room_Type 1,2,2018,8,19,Online,0,0,0,133.0,2,Not_Canceled
17609,INN17610,3,0,1,1,Meal Plan 1,0,Room_Type 4,51,2018,10,17,Online,0,0,0,158.4,1,Canceled
22560,INN22561,2,0,2,1,Meal Plan 1,0,Room_Type 1,3,2018,2,14,Offline,0,0,0,82.0,0,Not_Canceled
33126,INN33127,2,0,0,3,Meal Plan 1,0,Room_Type 1,27,2018,5,10,Online,0,0,0,141.0,0,Canceled
19735,INN19736,2,0,2,3,Meal Plan 1,0,Room_Type 1,83,2018,7,1,Online,0,0,0,108.9,1,Not_Canceled
19739,INN19740,3,0,0,2,Meal Plan 1,0,Room_Type 4,15,2018,2,19,Online,0,0,0,130.0,1,Not_Canceled
31512,INN31513,2,0,2,1,Not Selected,0,Room_Type 1,15,2018,12,10,Online,0,0,0,90.33,1,Not_Canceled
26240,INN26241,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,12,9,Complementary,1,0,3,0.0,1,Not_Canceled
14354,INN14355,1,0,1,2,Meal Plan 1,0,Room_Type 1,3,2018,5,2,Offline,0,0,0,92.7,0,Not_Canceled
8291,INN08292,1,0,1,1,Meal Plan 1,1,Room_Type 1,0,2018,4,23,Online,0,0,0,123.0,0,Not_Canceled
20003,INN20004,2,0,1,3,Meal Plan 1,0,Room_Type 4,59,2018,3,10,Online,0,0,0,82.45,0,Canceled
9798,INN09799,2,0,2,4,Meal Plan 1,0,Room_Type 1,132,2018,7,22,Online,0,0,0,100.87,1,Not_Canceled
25389,INN25390,2,0,0,1,Meal Plan 1,0,Room_Type 1,105,2018,4,6,Offline,0,0,0,75.0,0,Canceled
34208,INN34209,2,0,2,1,Meal Plan 2,0,Room_Type 1,138,2017,8,22,Offline,0,0,0,94.5,0,Not_Canceled
30029,INN30030,2,0,0,3,Meal Plan 1,0,Room_Type 1,29,2017,12,31,Offline,0,0,0,115.0,1,Not_Canceled
5364,INN05365,2,0,0,2,Meal Plan 1,0,Room_Type 4,0,2018,8,17,Online,0,0,0,165.0,1,Not_Canceled
14881,INN14882,2,0,1,1,Not Selected,0,Room_Type 1,11,2018,11,19,Online,0,0,0,90.0,2,Not_Canceled
12417,INN12418,2,1,2,5,Meal Plan 1,0,Room_Type 1,162,2018,12,26,Online,0,0,0,158.56,0,Not_Canceled
4556,INN04557,2,0,4,5,Meal Plan 2,0,Room_Type 1,229,2018,11,13,Online,0,0,0,107.64,1,Canceled
12818,INN12819,3,0,2,1,Meal Plan 1,0,Room_Type 1,148,2018,8,21,Offline,0,0,0,96.9,0,Not_Canceled
3019,INN03020,2,0,0,2,Meal Plan 1,0,Room_Type 1,29,2018,2,12,Online,0,0,0,86.45,1,Not_Canceled
30024,INN30025,2,0,1,2,Meal Plan 2,0,Room_Type 1,315,2018,9,30,Offline,0,0,0,160.0,0,Canceled
11562,INN11563,1,0,0,3,Meal Plan 1,0,Room_Type 1,10,2017,9,15,Offline,0,0,0,113.6,0,Not_Canceled
29499,INN29500,2,0,0,1,Meal Plan 2,0,Room_Type 1,83,2017,9,30,Offline,0,0,0,112.2,0,Not_Canceled
16830,INN16831,2,0,2,5,Meal Plan 1,0,Room_Type 4,123,2018,10,21,Online,0,0,0,129.34,0,Not_Canceled
32316,INN32317,2,0,1,3,Meal Plan 1,0,Room_Type 1,3,2017,8,31,Offline,0,0,0,46.54,0,Not_Canceled
20111,INN20112,2,0,1,2,Meal Plan 1,0,Room_Type 1,233,2018,10,14,Offline,0,0,0,90.0,0,Canceled
28788,INN28789,2,0,0,2,Meal Plan 1,0,Room_Type 1,59,2017,10,29,Offline,0,0,0,85.0,0,Not_Canceled
17451,INN17452,1,0,1,2,Meal Plan 1,0,Room_Type 1,0,2018,8,29,Corporate,1,3,42,65.0,0,Not_Canceled
460,INN00461,1,0,0,3,Meal Plan 1,0,Room_Type 1,37,2018,10,13,Offline,0,0,0,95.0,0,Not_Canceled
23809,INN23810,2,0,0,1,Meal Plan 1,0,Room_Type 1,101,2018,6,8,Online,0,0,0,97.71,0,Canceled
19816,INN19817,2,0,1,2,Not Selected,0,Room_Type 1,40,2018,11,18,Online,0,0,0,67.76,1,Not_Canceled
27337,INN27338,2,0,0,4,Meal Plan 1,0,Room_Type 1,3,2017,9,8,Online,0,0,0,124.0,0,Not_Canceled
21085,INN21086,2,2,1,3,Meal Plan 1,0,Room_Type 6,42,2018,4,25,Online,0,0,0,175.28,0,Canceled
4794,INN04795,2,0,2,2,Meal Plan 1,0,Room_Type 1,116,2018,3,25,Online,0,0,0,59.5,0,Canceled
17832,INN17833,2,1,0,3,Meal Plan 1,0,Room_Type 1,40,2018,6,29,Online,0,0,0,134.1,2,Not_Canceled
18751,INN18752,2,1,0,3,Meal Plan 1,0,Room_Type 6,70,2018,12,8,Online,0,0,0,156.6,2,Not_Canceled
11625,INN11626,2,2,2,2,Meal Plan 1,0,Room_Type 6,30,2018,9,24,Online,0,0,0,195.53,0,Canceled
9982,INN09983,3,0,1,1,Meal Plan 1,0,Room_Type 1,33,2018,1,25,Corporate,0,0,0,95.0,0,Not_Canceled
31955,INN31956,1,0,2,1,Meal Plan 2,0,Room_Type 1,80,2018,4,10,Offline,0,0,0,100.0,0,Canceled
20773,INN20774,1,0,0,3,Meal Plan 1,0,Room_Type 1,15,2018,2,18,Offline,0,0,0,86.0,0,Not_Canceled
24323,INN24324,1,0,0,1,Meal Plan 1,0,Room_Type 1,14,2018,10,26,Offline,0,0,0,95.0,0,Not_Canceled
27747,INN27748,2,0,2,3,Meal Plan 1,0,Room_Type 1,104,2018,11,12,Online,0,0,0,69.3,1,Not_Canceled
23422,INN23423,2,0,0,3,Not Selected,0,Room_Type 1,21,2018,8,9,Online,0,0,0,139.0,1,Not_Canceled
10128,INN10129,2,0,0,2,Not Selected,0,Room_Type 1,35,2018,8,10,Online,0,0,0,125.1,0,Canceled
21253,INN21254,1,0,0,2,Meal Plan 1,0,Room_Type 1,192,2018,6,24,Offline,0,0,0,95.0,0,Not_Canceled
8313,INN08314,2,0,0,2,Meal Plan 1,0,Room_Type 1,13,2018,1,15,Online,0,0,0,89.0,2,Not_Canceled
23722,INN23723,2,0,1,3,Not Selected,0,Room_Type 1,46,2018,3,10,Online,0,0,0,67.15,1,Not_Canceled
35274,INN35275,2,0,1,0,Not Selected,0,Room_Type 1,2,2018,4,24,Online,0,0,0,89.0,0,Canceled
8888,INN08889,1,0,0,2,Meal Plan 1,0,Room_Type 1,228,2018,8,10,Online,0,0,0,90.9,1,Canceled
33974,INN33975,1,0,0,1,Meal Plan 1,0,Room_Type 1,3,2017,10,1,Complementary,0,0,0,0.0,0,Not_Canceled
32360,INN32361,1,0,0,2,Not Selected,0,Room_Type 1,22,2018,9,15,Online,0,0,0,139.0,2,Not_Canceled
2755,INN02756,2,1,2,1,Meal Plan 1,0,Room_Type 1,8,2018,2,21,Online,0,0,0,111.0,3,Not_Canceled
34863,INN34864,2,0,0,2,Meal Plan 2,0,Room_Type 1,39,2017,8,14,Offline,0,0,0,109.0,0,Not_Canceled
18843,INN18844,2,0,0,2,Meal Plan 1,0,Room_Type 1,101,2018,11,18,Online,0,0,0,90.0,2,Canceled
16124,INN16125,2,0,0,1,Meal Plan 1,0,Room_Type 1,46,2017,9,18,Online,0,0,0,94.5,0,Not_Canceled
25230,INN25231,2,0,2,2,Meal Plan 1,0,Room_Type 4,3,2018,8,5,Online,0,0,0,166.0,1,Not_Canceled
24563,INN24564,2,0,2,2,Meal Plan 1,0,Room_Type 1,20,2018,8,19,Online,0,0,0,151.0,1,Not_Canceled
16304,INN16305,2,0,2,1,Meal Plan 1,0,Room_Type 1,252,2018,10,15,Online,0,0,0,106.3,0,Canceled
20403,INN20404,2,0,0,3,Meal Plan 2,0,Room_Type 1,34,2017,9,23,Offline,0,0,0,224.67,0,Canceled
16876,INN16877,2,0,0,1,Meal Plan 1,0,Room_Type 1,105,2018,4,6,Offline,0,0,0,75.0,0,Canceled
8515,INN08516,2,1,0,2,Meal Plan 1,0,Room_Type 1,138,2018,7,14,Online,0,0,0,121.5,1,Not_Canceled
1246,INN01247,2,0,0,2,Meal Plan 2,0,Room_Type 1,74,2017,9,18,Offline,0,0,0,109.0,0,Not_Canceled
269,INN00270,2,0,0,2,Meal Plan 1,0,Room_Type 1,122,2018,4,15,Offline,0,0,0,85.0,0,Not_Canceled
14632,INN14633,2,0,2,2,Meal Plan 1,0,Room_Type 1,36,2018,2,13,Online,0,0,0,78.3,1,Not_Canceled
33546,INN33547,2,0,1,5,Meal Plan 1,0,Room_Type 4,60,2018,9,5,Online,0,0,0,132.45,1,Canceled
12340,INN12341,2,0,1,4,Meal Plan 1,0,Room_Type 1,115,2018,5,4,Online,0,0,0,99.45,1,Not_Canceled
22949,INN22950,2,0,1,3,Not Selected,0,Room_Type 1,33,2018,12,5,Offline,0,0,0,59.5,0,Not_Canceled
6697,INN06698,2,0,0,3,Not Selected,0,Room_Type 1,73,2018,4,27,Online,0,0,0,82.69,1,Not_Canceled
26950,INN26951,2,0,0,2,Not Selected,0,Room_Type 1,167,2018,7,29,Online,0,0,0,94.5,0,Canceled
25867,INN25868,1,0,1,0,Meal Plan 1,0,Room_Type 1,12,2017,10,4,Offline,0,0,0,72.0,0,Not_Canceled
5845,INN05846,2,1,0,3,Meal Plan 1,0,Room_Type 6,124,2018,5,31,Online,0,0,0,198.9,0,Canceled
6541,INN06542,1,0,0,2,Meal Plan 2,0,Room_Type 1,286,2018,9,16,Offline,0,0,0,91.0,0,Not_Canceled
5408,INN05409,2,0,2,4,Meal Plan 1,0,Room_Type 1,1,2018,1,17,Online,0,0,0,90.33,1,Not_Canceled
20741,INN20742,2,0,2,0,Not Selected,0,Room_Type 1,140,2018,7,17,Online,0,0,0,94.5,0,Canceled
15919,INN15920,1,0,0,5,Meal Plan 1,0,Room_Type 1,28,2018,12,20,Online,0,0,0,74.8,0,Canceled
11052,INN11053,2,1,2,5,Meal Plan 1,1,Room_Type 1,188,2018,8,9,Online,0,0,0,123.75,2,Canceled
2725,INN02726,2,0,1,3,Meal Plan 1,0,Room_Type 1,158,2018,8,25,Online,0,0,0,90.95,1,Not_Canceled
6612,INN06613,1,0,2,1,Meal Plan 1,0,Room_Type 1,17,2017,9,5,Online,0,0,0,69.49,1,Not_Canceled
5005,INN05006,2,1,0,1,Meal Plan 1,0,Room_Type 1,12,2018,2,6,Online,0,0,0,109.0,0,Canceled
7753,INN07754,2,0,1,1,Meal Plan 1,1,Room_Type 4,36,2018,10,3,Online,0,0,0,148.5,2,Not_Canceled
30580,INN30581,2,0,1,2,Not Selected,0,Room_Type 1,270,2018,9,30,Online,0,0,0,95.4,1,Canceled
25786,INN25787,1,0,2,1,Meal Plan 2,0,Room_Type 1,124,2017,8,8,Offline,0,0,0,72.5,0,Not_Canceled
14730,INN14731,2,0,2,1,Meal Plan 1,0,Room_Type 1,180,2018,10,1,Online,0,0,0,108.9,0,Canceled
1092,INN01093,2,0,0,5,Meal Plan 1,0,Room_Type 4,162,2018,3,8,Offline,0,0,0,62.0,1,Not_Canceled
1026,INN01027,3,0,0,3,Meal Plan 1,0,Room_Type 4,25,2018,4,6,Online,0,0,0,167.0,0,Canceled
4951,INN04952,1,0,0,1,Meal Plan 1,0,Room_Type 1,14,2018,3,16,Offline,0,0,0,82.4,0,Not_Canceled
20789,INN20790,2,0,2,4,Meal Plan 1,0,Room_Type 1,107,2017,8,9,Offline,0,0,0,63.75,1,Canceled
23295,INN23296,2,0,0,2,Meal Plan 1,0,Room_Type 1,216,2018,8,30,Offline,0,0,0,80.75,0,Not_Canceled
32657,INN32658,2,0,0,3,Meal Plan 1,0,Room_Type 1,178,2018,8,4,Online,0,0,0,108.3,0,Canceled
19372,INN19373,1,0,0,4,Meal Plan 1,0,Room_Type 1,34,2018,8,30,Online,0,0,0,104.4,1,Not_Canceled
10838,INN10839,2,0,0,3,Meal Plan 1,0,Room_Type 1,52,2018,3,3,Online,0,0,0,78.3,0,Canceled
5918,INN05919,3,0,2,2,Meal Plan 1,0,Room_Type 5,66,2018,5,14,Offline,0,0,0,147.56,1,Not_Canceled
34249,INN34250,1,0,0,2,Meal Plan 1,0,Room_Type 1,188,2018,6,15,Offline,0,0,0,130.0,0,Canceled
29441,INN29442,2,2,0,1,Meal Plan 1,0,Room_Type 6,4,2018,3,25,Online,0,0,0,240.0,1,Not_Canceled
17386,INN17387,2,0,0,3,Meal Plan 1,0,Room_Type 4,23,2017,10,21,Offline,0,0,0,75.0,1,Not_Canceled
3310,INN03311,2,0,0,1,Not Selected,0,Room_Type 1,36,2018,2,13,Online,0,0,0,67.5,0,Canceled
23328,INN23329,2,0,0,2,Meal Plan 2,0,Room_Type 1,265,2018,6,24,Offline,0,0,0,115.0,1,Canceled
21657,INN21658,2,0,0,5,Not Selected,0,Room_Type 1,225,2018,12,27,Online,0,0,0,70.55,3,Not_Canceled
12691,INN12692,2,0,0,3,Meal Plan 1,0,Room_Type 1,90,2018,12,21,Online,0,0,0,93.6,1,Not_Canceled
1127,INN01128,2,0,0,3,Meal Plan 1,0,Room_Type 1,213,2018,6,7,Online,0,0,0,130.0,0,Canceled
23522,INN23523,2,0,0,4,Meal Plan 1,0,Room_Type 1,97,2018,3,23,Online,0,0,0,65.42,1,Not_Canceled
31313,INN31314,1,0,0,3,Meal Plan 1,0,Room_Type 4,28,2018,6,14,Online,0,0,0,108.42,1,Not_Canceled
10810,INN10811,1,0,2,2,Meal Plan 1,0,Room_Type 1,5,2017,9,26,Online,0,0,0,206.0,1,Not_Canceled
